movie_name,summary
touch of evil,film noir portrait corruption morally compromised obsession star welles hank quinlan crooked police chief frame mexican youth part intricate criminal plot charlton heston play honorable mexican narcotic investigator clash bigoted quinlan probing dark past memorable supporting cast including janet leigh heston inquisitive wife akim tamiroff seedy underworld leader zsa zsa gabor marlene dietrich enigmatic gypsy complete fascinating drama engulfed haunting cinematography magnificently eerie score henry mancini
seven samurai,seven samurai shichinin samurai tell story sixteenth century village whose desperate inhabitant hire eponymous warrior protect invading bandit
the wild bunch,aging group outlaw look one last big score traditional american west disappearing around
au hasard balthazar,robert bresson film focus story donkey balthazar people around
the lady vanishes,travelling continental europe rich young playgirl realizes elderly lady seems disappeared train
the treasure of the sierra madre,fred dobbs bob curtin two american searching work mexico convince old prospector help mine gold sierra madre mountain
pan's labyrinth,following bloody civil war young ofelia enters world unimaginable cruelty move new stepfather tyrannical military officer armed imagination ofelia discovers mysterious labyrinth meet faun set path saving ailing mother soon line fantasy reality begin blur ofelia turn back find center ferocious battle good evil warner bros
some like it hot,two male musician witness mob hit flee state female band disguised woman complication set
north by northwest,hapless new york advertising executive mistaken government agent group foreign spy pursued across country look way survive
the rules of the game,bourgeois life france onset world war ii rich poor servant meet french chateau
hoop dreams,two inner city chicago boy hope becoming professional basketball player struggle become college player
rashomon,rape bride murder samurai husband recalled perspective bandit bride samurai ghost woodcutter
the passion of joan of arc,jeanne arc placed trial charge heresy ecclesiastical jurist attempt force jeanne recant claim holy vision
all about eve,ingenue insinuates company established aging stage actress circle theater friend
jules and jim,decade love triangle concerning two friend impulsive woman
my left foot,true story cerebral palsied christy brown overcame illness poverty become accomplished artist poet writer
the third man,pulp novelist holly martin travel shadowy postwar vienna find investigating mysterious death old friend harry lime
dr. strangelove or: how i learned to stop worrying and love the bomb,series military political accident psychotic general u air force commander jack ripper hayden trigger ingenious irrevocable scheme attack russia strategic target nuclear bomb u president seller dr strangelove seller wheelchair bound nuclear scientist bizarre idea man future work soviet premier desperate effort save world
"quo vadis, aida?",bosnia july th aida translator united nation small town srebrenica serbian army take town family among thousand citizen looking shelter un camp insider negotiation aida access crucial information need interpret horizon family people rescue death move take super ltd
psycho,phoenix secretary embezzles employer client go run check remote motel run young man norman bates anthony perkins domination mother
gone with the wind,southern belle struggle devastation civil war reconstruction classic academy award including best picture
"4 months, 3 weeks and 2 days",final day communism romania two college roommate otilia gabita busy preparing night away rather planning holiday making arrangement gabita illegal abortion unwittingly find burrowing deep rabbit hole unexpected revelation ifc film
battleship potemkin,midst russian revolution crew battleship potemkin mutiny brutal tyrannical regime vessel officer resulting street demonstration odessa brings police massacre
a streetcar named desire,disturbed blanche dubois vivien leigh move sister new orleans tormented brutish brother law marlon brando reality crumbles around
the maltese falcon,private detective humphrey bogart take case involves three eccentric criminal gorgeous liar quest priceless statuette
american graffiti,couple high school grad spend one final night cruising strip buddy go college
12 angry men,angry men sidney lumet behind closed door look american legal system iconic adaptation reginald rose teleplay star henry fonda dissenting member jury white men ready pas judgment puerto rican teenager charged murdering father result saga epic proportion play tense afternoon one sweltering room
dumbo,simple animated tale set circus spotlight baby elephant dumbo mocked ridiculed ear big assisted mouse achieve full potential
roma,rom follows cleo yalitza aparicio young domestic worker family middle class neighborhood rom mexico city delivering artful love letter woman raised cuar n draw childhood create vivid emotional portrait domestic strife social hierarchy amidst political turmoil netflix
man with a movie camera,man travel around city camera slung shoulder documenting urban life dazzling invention
parasite,meet park family picture aspirational wealth kim family rich street smart much else chance fate two house brought together kims sense golden opportunity masterminded college aged ki woo kim child expediently install tutor art therapist park soon symbiotic relationship form two family kims provide indispensable luxury service park obliviously bankroll entire household parasitic interloper threatens kims newfound comfort savage underhanded battle dominance break threatening destroy fragile ecosystem kims park neon
spirited away,young girl chihiro becomes trapped strange new world spirit parent undergo mysterious transformation must call upon courage never knew free return family outside world walt disney studio
toy story,led woody andy toy live happily room andy birthday brings buzz lightyear onto scene afraid losing place andy heart woody plot buzz circumstance separate buzz woody owner duo eventually learns put aside difference pixar
ran,adaptation william shakespeare king lear ran considers disastrous consequence lord hidetora ichimonji tatsuya nakadai decision split kingdom among three son
"summer of soul (...or, when the revolution could not be televised)",summer woodstock different music festival took place mile away people attended summer concert series known harlem cultural festival filmed summer footage sat basement year never seen sundance
the shop around the corner,two employee gift shop barely stand without realizing falling love post anonymous pen pal
rosemary's baby,young couple move apartment surrounded peculiar neighbor occurrence wife becomes mysteriously pregnant paranoia safety unborn child begin control life
12 years a slave,pre civil war united state solomon northup free black man living upstate new york abducted sold slavery
manchester by the sea,death older brother joe kyle chandler lee chandler casey affleck shocked learn joe made sole guardian nephew patrick lucas hedge taking leave job lee reluctantly return manchester sea care patrick spirited year old forced deal past separated wife randi michelle williams community born raised bonded man held family together lee patrick struggle adjust world without
killer of sheep,killer sheep examines black los angeles ghetto watt mid eye stan sensitive dreamer growing detached numb psychic toll working slaughterhouse film offer solution merely present life sometimes hauntingly bleak sometimes filled transcendent joy gentle humor milestone film video
nashville,course hectic day numerous interrelated people prepare political convention secret lie surfaced revealed
red river,dunson lead cattle drive culmination year work destination missouri tyrannical behavior along way cause mutiny led adopted son
sansho the bailiff,idealistic governor disobeys reigning feudal lord cast exile wife child left fend eventually wrenched apart vicious slave trader kenji mizoguchi dazzling direction classic japanese story became one cinema greatest masterpiece monumental empathetic expression human resilience face evil
ratatouille,despite sensational sniffer sophisticated palate remy dream becoming chef seem hopeless due one small detail rat twist fate end world famous restaurant late hero auguste gusteau dash culinary courage help garbage boy linguini remy whip exquisite meal impress even nasty chef skinner food critic anton ego together conquer kitchen prove big dream come true matter small disney
the grapes of wrath,poor midwest family forced land travel california suffering misfortune homeless great depression
snow white and the seven dwarfs,exiled dangerous forest wicked stepmother princess rescued seven dwarf miner make part household
children of paradise,child paradise tale woman loved four different men deftly entwining theater literature music design director marcel carn screenwriter jacques pr vert resurrect tumultuous world nineteenth century paris teeming huckster aristocrat thief courtesan pimp seer janus film
mean streets,charlie harvey keitel working way rank local mob teresa amy robinson girlfriend family deems unsuitable epilepsy johnny boy robert de niro small time gambler big time debt loan shark story martin scorsese lived semi biographical tale first generation son daughter new york little italy warner bros
the lady eve,trio classy card shark target socially awkward heir brewery million money one fall love
gravity,dr ryan stone sandra bullock brilliant medical engineer first shuttle mission veteran astronaut matt kowalsky george clooney command last flight retiring seemingly routine spacewalk disaster strike shuttle destroyed leaving stone kowalsky completely alone tethered nothing spiraling blackness deafening silence tell lost link earth chance rescue fear turn panic every gulp air eats away little oxygen left way home may go terrifying expanse space
fantasia,collection animated interpretation great work western classical music
beauty and the beast,tale old time follows adventure belle bright young woman find imprisoned castle mysterious beast assistance castle enchanted staff delightful tender romance develops two unlikely friend belle soon learns important lesson true beauty come within
small axe: lovers rock,single evening house party west london set scene developing intertwined relationship background violence romance music
the bride of frankenstein,mary shelley reveals main character novel survived dr frankenstein goaded even madder scientist build monster mate
don't look now,married couple grieving recent death young daughter venice encounter two elderly sister one psychic brings warning beyond
the social network,fall night harvard undergrad computer programming genius mark zuckerberg jesse eisenberg sits computer heatedly begin working new idea fury blogging programming begin dorm room soon becomes global social network revolution communication mere six year million friend later mark zuckerberg youngest billionaire history entrepreneur success lead personal legal complication columbia picture
my fair lady,snobbish phonetics professor agrees wager take flower girl make presentable high society
portrait of a lady on fire,france marianne commissioned paint wedding portrait h lo se young woman left convent reluctant bride marianne arrives guise companionship observing h lo se day secretly painting firelight night two woman orbit one another intimacy attraction grow share h lo se first moment freedom h lo se portrait soon becomes collaborative act testament love
i am not your negro,director raoul peck envisions book james baldwin never finished radical narration race america using writer original word draw upon james baldwin note life assassination medgar evers malcolm x martin luther king jr explore bring fresh radical perspective current racial narrative america magnolia picture
woodstock,happened small farm upstate new york three remarkable day mud happiness half million people came together celebrate life love music woodstock one camera crew middle everything recording live performance many greatest singer musician era joy peace rock n roll experienced hundred thousand
past lives,nora greta lee hae sung teo yoo two deeply connected childhood friend wrested apart nora family emigrates south korea two decade later reunited new york one fateful week confront notion destiny love choice make life
aftersun,sophie reflects shared joy private melancholy holiday took father twenty year earlier memory real imagined fill gap minidv footage try reconcile father knew man
rocks,teenage girl suddenly find struggling take care younger brother
amour,george anne eighty cultivated retired music teacher daughter also musician life abroad family one day anne attack couple bond love severely tested sony picture classic
the hurt locker,new sergeant james jeremy renner take highly trained bomb disposal team amidst violent conflict surprise two subordinate sanborn anthony mackie eldridge brian geraghty recklessly plunging deadly game urban combat james behaves indifferent death men struggle control wild new leader city explodes chaos james true character reveals way change man forever summit entertainment
anatomy of a murder,murder trial defendant say suffered temporary insanity victim raped wife truth win case
zero dark thirty,decade elite team intelligence military operative working secret across globe devoted single goal find eliminate osama bin laden columbia picture
collective,collective follows heroic team journalist uncover shocking widespread corruption deadly nightclub fire mysterious death owner powerful pharmaceutical firm quiet resignation health minister seemingly unrelated event within week team intrepid reporter expose much larger much explosive political scandal collective fast paced real time detective story truth accountability value independent press partisan time
a separation,set contemporary iran separation compelling drama dissolution marriage simin want leave iran husband nader daughter termeh simin sue divorce nader refuse leave behind alzheimer suffering father request failed simin return parent home termeh decides stay nader nader hire young woman assist father wife absence hope life return normal state however discovers new maid lying realizes line marriage sony picture classic
double indemnity,insurance representative let talked murder insurance fraud scheme arouses insurance investigator suspicion
sunrise,sophisticated urban woman seduces farmer hope murder neglected wife join city end rekindling romance wife discovers scheme
schindler's list,steven spielberg epic drama tell compelling true story german businessman oskar schindler neeson come nazi occupied poland looking economic prosperity leaf savior history film
pulp fiction,several inter locking story crime intrigue form temporal mosaic set los angeles underworld
wall-e,hundred lonely year built wall e discovers new purpose life meet sleek search robot named eve walt disney picture
carol,set new york two woman different background find throe love young woman therese belivet rooney mara clerk working manhattan department store dreaming fulfilling life meet carol cate blanchett alluring woman trapped loveless convenient marriage immediate connection spark innocence first encounter dims connection deepens carol break free confines marriage husband kyle chandler threatens competence mother carol involvement therese close relationship best friend abby sarah paulson come light carol leaf comfort home travel therese internal journey self discovery coincides new sense space twc
before midnight,follow sunrise sunset meet jesse celine nine year later greece almost two decade passed since first meeting train bound vienna
amazing grace,documentary presenting aretha franklin choir new bethel baptist church watt los angeles january
dunkirk,dunkirk open hundred thousand british allied troop surrounded enemy force trapped beach back sea face impossible situation enemy close warner bros
the man who shot liberty valance,senator became famous killing notorious outlaw return funeral old friend tell truth deed
the searchers,american civil war veteran embarks journey rescue niece comanche
45 years,one week kate mercer charlotte rampling th wedding anniversary planning party going well letter arrives husband tom courtenay body first love discovered frozen preserved icy glacier swiss alp time party upon five day later may marriage left celebrate ifc film
taxi driver,scorsese masterpiece real story psychotic new york cabby driven violence attempt rescue teenage prostitute sony
the servant,servant look decaying british class system relationship aristocrat scheming butler
yi yi,film portrays life portrait individual member taiwanese family representing stage birth death winstar cinema
