movie_name,review_anger,review_fear,review_sadness,review_joy,review_disgust,review_surprise,review_trust,review_anticipation,summary_anger,summary_fear,summary_sadness,summary_joy,summary_disgust,summary_surprise,summary_trust,summary_anticipation,combined_anger,combined_fear,combined_sadness,combined_joy,combined_disgust,combined_surprise,combined_trust,combined_anticipation
!women art revolution,3.0,2.0,8.0,8.0,0.0,9.0,2.0,11.0,3.0,2.0,8.0,8.0,0.0,9.0,2.0,11.0,3.0,2.0,8.0,8.0,0.0,9.0,2.0,11.0
#horror,3.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0
$pent,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
'r xmas,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
'tis autumn: the search for jackie paris,0.0,3.0,2.0,2.0,0.0,3.0,0.0,4.0,0.0,3.0,2.0,2.0,0.0,3.0,0.0,4.0,0.0,3.0,2.0,2.0,0.0,3.0,0.0,4.0
(500) days of summer,0.25,0.125,0.25,0.375,0.375,0.0,0.25,0.75,0.25,0.125,0.25,0.375,0.375,0.0,0.25,0.75,0.25,0.125,0.25,0.375,0.375,0.0,0.25,0.75
(t)error,0.0,2.0,2.0,4.0,1.0,4.0,5.0,3.0,0.0,2.0,2.0,4.0,1.0,4.0,5.0,3.0,0.0,2.0,2.0,4.0,1.0,4.0,5.0,3.0
(untitled),2.0,0.0,5.0,5.0,0.0,3.0,4.0,3.0,2.0,0.0,5.0,5.0,0.0,3.0,4.0,3.0,2.0,0.0,5.0,5.0,0.0,3.0,4.0,3.0
*corpus callosum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
...and justice for all.,4.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0,4.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0,4.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
...and they lived happily ever after,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
...so goes the nation,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"1,000 times good night",5.0,13.0,7.0,5.0,3.0,4.0,6.0,7.0,5.0,13.0,7.0,5.0,3.0,4.0,6.0,7.0,5.0,13.0,7.0,5.0,3.0,4.0,6.0,7.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 cloverfield lane,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.4,0.8,0.4,0.4,1.2,0.8,0.0,0.4
10 items or less,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
10 things i hate about you,0.3076923076923077,0.3076923076923077,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.0,0.38461538461538464,0.07692307692307693,0.3076923076923077,0.3076923076923077,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.0,0.38461538461538464,0.07692307692307693,0.3076923076923077,0.3076923076923077,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.0,0.38461538461538464,0.07692307692307693
10 years,1.0,0.0,1.0,6.0,1.0,3.0,13.0,6.0,1.0,0.0,1.0,6.0,1.0,3.0,13.0,6.0,1.0,0.0,1.0,6.0,1.0,3.0,13.0,6.0
"10,000 km",0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0
100 bloody acres,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0
100 streets,3.0,4.0,3.0,6.0,1.0,2.0,5.0,6.0,3.0,4.0,3.0,6.0,1.0,2.0,5.0,6.0,3.0,4.0,3.0,6.0,1.0,2.0,5.0,6.0
101 dalmatians,0.5,0.5,0.0,0.5,0.5,0.0,1.5,2.0,0.5,0.5,0.0,0.5,0.5,0.0,1.5,2.0,0.5,0.5,0.0,0.5,0.5,0.0,1.5,2.0
102 dalmatians,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
10th & wolf,6.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,6.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,6.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0
11 flowers,1.0,2.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,1.0
11 minutes,3.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0
