movie_name,n_total,n_pos,n_neu,n_neg,pos_rate,avg_rating
(500) days of summer,8,4,3,1,0.5,0.7
10 cloverfield lane,1,1,0,0,1.0,0.8
10 things i hate about you,13,12,1,0,0.9230769230769231,0.9384615384615385
12 angry men,5,5,0,0,1.0,0.9400000000000001
13 going on 30,5,5,0,0,1.0,0.9
191 6,3,2,1,0,0.6666666666666666,0.7666666666666667
2001: a space odyssey,3,3,0,0,1.0,1.0
20th century women,2,2,0,0,1.0,0.95
28 days later,1,1,0,0,1.0,0.8
365 days,2,0,0,2,0.0,0.1
8â½,1,0,0,1,0.0,0.1
a clockwork orange,3,2,0,0,0.6666666666666666,0.95
a dogâ??s will,1,1,0,0,1.0,0.9
a few good men,1,1,0,0,1.0,0.8
a ghost story,3,3,0,0,1.0,0.9333333333333333
a goofy movie,1,1,0,0,1.0,1.0
a nightmare on elm street,2,2,0,0,1.0,1.0
a quiet place,5,3,2,0,0.6,0.76
a quiet place part ii,10,3,7,0,0.3,0.67
a rainy day in new york,1,0,0,1,0.0,0.3
a serbian film,2,0,0,2,0.0,0.2
a simple favor,1,1,0,0,1.0,0.9
a star is born,1,0,1,0,0.0,0.6
a trip to the moon,3,3,0,0,1.0,0.9333333333333333
about time,5,3,2,0,0.6,0.82
ad astra,2,2,0,0,1.0,0.9
adaptation.,2,2,0,0,1.0,0.95
addams family values,1,0,0,0,0.0,0.5
after,2,0,0,2,0.0,0.2
after hours,4,3,0,0,0.75,0.8666666666666666
after we collided,1,0,0,1,0.0,0.1
after yang,3,3,0,0,1.0,0.8333333333333334
aftersun,17,16,0,0,0.9411764705882353,0.975
airplane!,1,0,1,0,0.0,0.7
alien,3,3,0,0,1.0,0.9333333333333333
aliens,2,2,0,0,1.0,0.9
all quiet on the western front,4,2,2,0,0.5,0.7
all too well: the short film,5,2,0,1,0.4,0.7
almost famous,2,2,0,0,1.0,0.9
amadeus,1,1,0,0,1.0,1.0
ambulance,3,1,2,0,0.3333333333333333,0.7333333333333333
american beauty,5,4,1,0,0.8,0.86
american history x,1,0,1,0,0.0,0.7
american psycho,20,16,3,0,0.8,0.8052631578947368
american psycho ii: all american girl,1,0,0,1,0.0,0.1
ammonite,3,1,2,0,0.3333333333333333,0.6666666666666667
amsterdam,1,0,0,1,0.0,0.3
amã©lie,4,4,0,0,1.0,0.95
an american werewolf in london,1,1,0,0,1.0,0.8
and then we danced,1,1,0,0,1.0,0.8
anna karenina,3,1,2,0,0.3333333333333333,0.6333333333333333
annette,6,3,2,1,0.5,0.7166666666666667
annihilation,3,3,0,0,1.0,0.9333333333333333
another round,7,5,2,0,0.7142857142857143,0.8428571428571429
ant-man,1,0,1,0,0.0,0.7
ant-man and the wasp,1,0,1,0,0.0,0.7
ant-man and the wasp: quantumania,10,1,3,5,0.1,0.4444444444444445
antichrist,1,0,1,0,0.0,0.5
apocalypse now,1,1,0,0,1.0,0.9
aquaman,3,1,1,0,0.3333333333333333,0.8
are you lost in the world like me?,1,0,0,1,0.0,0.2
army of darkness,1,1,0,0,1.0,0.9
army of the dead,1,0,1,0,0.0,0.6
arrival,3,3,0,0,1.0,1.0
artemis fowl,2,0,0,2,0.0,0.15
arthur christmas,1,1,0,0,1.0,0.8
as i was moving ahead occasionally i saw brief glimpses of beauty,1,1,0,0,1.0,1.0
at eternityâ??s gate,1,0,1,0,0.0,0.7
atomic blonde,1,0,1,0,0.0,0.7
atonement,11,10,1,0,0.9090909090909091,0.9272727272727274
avatar,5,0,4,0,0.0,0.625
avatar: the way of water,14,8,4,2,0.5714285714285714,0.7285714285714285
avengers: endgame,1,1,0,0,1.0,0.8
avengers: infinity war,2,0,1,1,0.0,0.5
baby driver,2,1,1,0,0.5,0.85
babylon,34,22,4,6,0.6470588235294118,0.75625
back to the future,2,2,0,0,1.0,0.9
bacurau,1,1,0,0,1.0,0.9
bad times at the el royale,1,1,0,0,1.0,0.8
barb & star go to vista del mar,2,2,0,0,1.0,0.9
barbarian,19,15,2,0,0.7894736842105263,0.8235294117647058
barry lyndon,2,2,0,0,1.0,1.0
batman,2,2,0,0,1.0,0.85
batman returns,1,1,0,0,1.0,0.8
batman: mask of the phantasm,1,1,0,0,1.0,0.9
battle royale,1,1,0,0,1.0,0.8
beautiful boy,8,2,6,0,0.25,0.725
beauty and the beast,2,2,0,0,1.0,1.0
bee movie,2,1,1,0,0.5,0.85
beetlejuice,2,1,0,0,0.5,0.9
before midnight,4,3,1,0,0.75,0.9
before sunrise,7,7,0,0,1.0,0.9571428571428571
before sunset,5,5,0,0,1.0,0.9199999999999999
being john malkovich,1,1,0,0,1.0,1.0
being the ricardos,1,0,1,0,0.0,0.5
belfast,2,0,0,2,0.0,0.35
bend it like beckham,2,0,2,0,0.0,0.7
benedetta,3,3,0,0,1.0,0.8666666666666666
big little lies,1,1,0,0,1.0,0.9
bird box,1,0,1,0,0.0,0.5
birdman or (the unexpected virtue of ignorance),2,2,0,0,1.0,1.0
birds of prey (and the fantabulous emancipation of one harley quinn),2,2,0,0,1.0,0.9
black adam,5,0,1,2,0.0,0.4333333333333333
black mirror: nosedive,1,1,0,0,1.0,0.8
black mirror: striking vipers,1,0,1,0,0.0,0.6
black panther,1,1,0,0,1.0,1.0
black panther: wakanda forever,12,7,5,0,0.5833333333333334,0.75
black swan,8,8,0,0,1.0,0.925
black widow,20,6,10,4,0.3,0.61
blackkklansman,3,1,1,0,0.3333333333333333,0.75
blade,1,1,0,0,1.0,0.8
blade runner,3,1,2,0,0.3333333333333333,0.8
blade runner 2049,4,4,0,0,1.0,0.95
blonde,8,0,0,8,0.0,0.2625
blue valentine,1,1,0,0,1.0,1.0
blue velvet,2,2,0,0,1.0,0.95
bo burnham: inside,6,5,0,0,0.8333333333333334,0.9800000000000001
bo burnham: make happy,1,0,0,0,0.0,0.5
bodies bodies bodies,17,9,7,0,0.5294117647058824,0.75625
boiling point,2,2,0,0,1.0,0.9
