movie_name,review_anger,review_fear,review_sadness,review_joy,review_disgust,review_surprise,review_trust,review_anticipation,summary_anger,summary_fear,summary_sadness,summary_joy,summary_disgust,summary_surprise,summary_trust,summary_anticipation,combined_anger,combined_fear,combined_sadness,combined_joy,combined_disgust,combined_surprise,combined_trust,combined_anticipation
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 cloverfield lane,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.4,0.4,0.0,0.8,1.2,0.4,0.4,0.4
10 items or less,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0
10 things i hate about you,0.3076923076923077,0.38461538461538464,0.5384615384615384,0.15384615384615385,0.23076923076923078,0.0,0.38461538461538464,0.07692307692307693,0.3076923076923077,0.38461538461538464,0.5384615384615384,0.15384615384615385,0.23076923076923078,0.0,0.38461538461538464,0.07692307692307693,0.3076923076923077,0.38461538461538464,0.5384615384615384,0.15384615384615385,0.23076923076923078,0.0,0.38461538461538464,0.07692307692307693
10 years,1.0,0.0,0.0,4.0,0.0,0.0,9.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,9.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,9.0,3.0
100 bloody acres,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0
100 streets,1.0,3.0,0.0,3.0,0.0,1.0,2.0,4.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,4.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,4.0
1000 times good night,5.0,13.0,8.0,5.0,4.0,4.0,6.0,7.0,5.0,13.0,8.0,5.0,4.0,4.0,6.0,7.0,5.0,13.0,8.0,5.0,4.0,4.0,6.0,7.0
10000 km,0.0,0.0,0.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,2.0
101 dalmatians,0.0,0.5,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,1.0,1.0
102 dalmatians,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
10th  wolf,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0
11 flowers,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0
11 minutes,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0
1182016,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
12 angry men,0.4,0.8,0.4,0.2,0.2,0.4,0.8,0.8,1.0,1.0,1.0,2.0,1.0,2.0,5.0,3.0,0.64,0.88,0.64,0.92,0.52,1.04,2.48,1.6800000000000002
12 hour shift,1.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0
12 mighty orphans,1.0,4.0,3.0,3.0,1.0,3.0,10.0,2.0,1.0,4.0,3.0,3.0,1.0,3.0,10.0,2.0,1.0,4.0,3.0,3.0,1.0,3.0,10.0,2.0
12 oclock boys,0.0,0.0,0.0,2.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,3.0
12 rounds,4.0,6.0,6.0,2.0,2.0,3.0,2.0,1.0,4.0,6.0,6.0,2.0,2.0,3.0,2.0,1.0,4.0,6.0,6.0,2.0,2.0,3.0,2.0,1.0
12 strong,5.0,5.0,4.0,2.0,2.0,1.0,1.0,2.0,5.0,5.0,4.0,2.0,2.0,1.0,1.0,2.0,5.0,5.0,4.0,2.0,2.0,1.0,1.0,2.0
12 years a slave,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12122012,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
127 hours,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0
13,0.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0
13 assassins,2.0,4.0,3.0,1.0,2.0,1.0,5.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,5.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,5.0,1.0
13 going on 30,0.4,0.4,0.6,0.2,0.6,0.2,0.4,0.6,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.24,0.64,0.76,0.92,0.36,0.52,0.64,0.76
13 hours the secret soldiers of benghazi,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0
13 minutes,2.0,5.0,3.0,2.0,0.0,1.0,4.0,3.0,2.0,5.0,3.0,2.0,0.0,1.0,4.0,3.0,2.0,5.0,3.0,2.0,0.0,1.0,4.0,3.0
13 sins,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0
13 tzameti,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0
13th,4.0,4.0,3.0,1.0,2.0,1.0,0.0,1.0,4.0,4.0,3.0,1.0,2.0,1.0,0.0,1.0,4.0,4.0,3.0,1.0,2.0,1.0,0.0,1.0
14 blades,6.0,8.0,6.0,2.0,3.0,2.0,2.0,2.0,6.0,8.0,6.0,2.0,3.0,2.0,2.0,2.0,6.0,8.0,6.0,2.0,3.0,2.0,2.0,2.0
1408,2.0,6.0,2.0,3.0,2.0,4.0,5.0,3.0,2.0,6.0,2.0,3.0,2.0,4.0,5.0,3.0,2.0,6.0,2.0,3.0,2.0,4.0,5.0,3.0
1492 conquest of paradise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15 minutes,2.0,4.0,1.0,0.0,1.0,3.0,2.0,0.0,2.0,4.0,1.0,0.0,1.0,3.0,2.0,0.0,2.0,4.0,1.0,0.0,1.0,3.0,2.0,0.0
16 blocks,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
17 again,2.0,3.0,2.0,3.0,1.0,3.0,6.0,5.0,2.0,3.0,2.0,3.0,1.0,3.0,6.0,5.0,2.0,3.0,2.0,3.0,1.0,3.0,6.0,5.0
17 girls,0.0,1.0,1.0,3.0,0.0,1.0,8.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,8.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,8.0,2.0
18½,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1900,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
191 6,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
