movie_name,n_total,n_pos,n_neu,n_neg,pos_rate,avg_rating
10,1,0,0,0,0.0,0.5
10 cloverfield lane,1,1,0,0,1.0,0.8
10 items or less,1,0,0,0,0.0,0.5
10 things i hate about you,13,12,1,0,0.9230769230769231,0.9384615384615385
10 years,1,0,0,0,0.0,0.5
100 bloody acres,1,0,0,0,0.0,0.5
100 streets,1,0,0,0,0.0,0.5
1000 times good night,1,0,0,0,0.0,0.5
10000 km,1,0,0,0,0.0,0.5
101 dalmatians,2,0,0,0,0.0,0.5
102 dalmatians,1,0,0,0,0.0,0.5
10th  wolf,1,0,0,0,0.0,0.5
11 flowers,1,0,0,0,0.0,0.5
11 minutes,1,0,0,0,0.0,0.5
1182016,1,0,0,0,0.0,0.5
12 angry men,5,5,0,0,1.0,0.9400000000000001
12 hour shift,1,0,0,0,0.0,0.5
12 mighty orphans,1,0,0,0,0.0,0.5
12 oclock boys,1,0,0,0,0.0,0.5
12 rounds,1,0,0,0,0.0,0.5
12 strong,1,0,0,0,0.0,0.5
12 years a slave,1,0,0,0,0.0,0.5
12122012,1,0,0,0,0.0,0.5
127 hours,1,0,0,0,0.0,0.5
13,1,0,0,0,0.0,0.5
13 assassins,1,0,0,0,0.0,0.5
13 going on 30,5,5,0,0,1.0,0.9
13 hours the secret soldiers of benghazi,1,0,0,0,0.0,0.5
13 minutes,1,0,0,0,0.0,0.5
13 sins,1,0,0,0,0.0,0.5
13 tzameti,1,0,0,0,0.0,0.5
13th,1,0,0,0,0.0,0.5
14 blades,1,0,0,0,0.0,0.5
1408,1,0,0,0,0.0,0.5
1492 conquest of paradise,1,0,0,0,0.0,0.5
15 minutes,1,0,0,0,0.0,0.5
16 blocks,1,0,0,0,0.0,0.5
17 again,1,0,0,0,0.0,0.5
17 girls,1,0,0,0,0.0,0.5
18½,1,0,0,0,0.0,0.5
1900,1,0,0,0,0.0,0.5
191 6,3,2,1,0,0.6666666666666666,0.7666666666666667
1911,1,0,0,0,0.0,0.5
1917,1,0,0,0,0.0,0.5
1941,1,0,0,0,0.0,0.5
1945,1,0,0,0,0.0,0.5
1971,1,0,0,0,0.0,0.5
1982,1,0,0,0,0.0,0.5
1984,1,0,0,0,0.0,0.5
1985,1,0,0,0,0.0,0.5
1br,1,0,0,0,0.0,0.5
1st night,1,0,0,0,0.0,0.5
2 autumns 3 winters,1,0,0,0,0.0,0.5
2 days in new york,1,0,0,0,0.0,0.5
2 days in paris,1,0,0,0,0.0,0.5
2 fast 2 furious,1,0,0,0,0.0,0.5
2 guns,1,0,0,0,0.0,0.5
2 jacks,1,0,0,0,0.0,0.5
2 or 3 things i know about him,1,0,0,0,0.0,0.5
20 centimeters,1,0,0,0,0.0,0.5
20 days in mariupol,1,0,0,0,0.0,0.5
